stimulus_id,sentence_id,sentence_text,emotion,strength_label,style_weight,filename
1,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,Neutral,Medium,1.0,S1_Neutral_Medium.wav
2,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,anger,3.0,3.0,S1_anger_3.0.wav
3,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,happy,4.0,4.0,S1_happy_4.0.wav
4,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,anger,4.0,4.0,S1_anger_4.0.wav
5,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,anger,1.0,1.0,S1_anger_1.0.wav
6,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,sad,5.0,5.0,S1_sad_5.0.wav
7,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,anger,2.0,2.0,S1_anger_2.0.wav
8,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,happy,2.0,2.0,S1_happy_2.0.wav
9,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,happy,0.5,0.5,S1_happy_0.5.wav
10,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,sad,2.0,2.0,S1_sad_2.0.wav
11,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,sad,4.0,4.0,S1_sad_4.0.wav
12,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,happy,3.0,3.0,S1_happy_3.0.wav
13,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,anger,0.5,0.5,S1_anger_0.5.wav
14,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,sad,0.5,0.5,S1_sad_0.5.wav
15,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,happy,1.0,1.0,S1_happy_1.0.wav
16,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,sad,1.0,1.0,S1_sad_1.0.wav
17,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,happy,5.0,5.0,S1_happy_5.0.wav
18,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,anger,5.0,5.0,S1_anger_5.0.wav
19,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,sad,3.0,3.0,S1_sad_3.0.wav
20,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,Neutral,Medium,1.0,S2_Neutral_Medium.wav
21,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,sad,0.5,0.5,S2_sad_0.5.wav
22,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,anger,2.0,2.0,S2_anger_2.0.wav
23,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,anger,3.0,3.0,S2_anger_3.0.wav
24,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,sad,2.0,2.0,S2_sad_2.0.wav
25,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,sad,5.0,5.0,S2_sad_5.0.wav
26,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,happy,5.0,5.0,S2_happy_5.0.wav
27,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,happy,3.0,3.0,S2_happy_3.0.wav
